DATA MISURA;PRES. SUPERAM.;PARAMETRO;UNITA' MISURA;UBICAZIONE;LONGITUDINE;LATITUDINE;RETE;MEDIA GIORNALIERA;DATI INSUFF.;ATTIVO DAL;ATTIVO FINO AL;PARAM. ABBREV.;UBICAZ. ATT. DAL;UBICAZ. ATT. FINO AL
2012 June 01;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2012 September 30;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2012 October 01;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2012 December 21;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2012 December 22;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2012 December 23;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2012 December 24;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2012 December 25;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2012 December 26;Falso;Particolato Totale Sosp.;ug/m3;Muggia;13.7506;45.60858;Trieste;0;Vero;01/01/2004 12:00:00 AM;2017 June 10;PTS;2004 January 01;
2005 January 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;71.95766;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;71.87626;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;62.18965;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
