CODICE_SITO;CATEGORIASITO;SIGLAPRO;DENCOMUNE;DENOM_SITO;STATO_PRATICA_DIZ;TIPOLOGIA_INQUINANTE;STADIO_DIZ
GO/BSI/1;I;GO;Gorizia;Deposito oli minerali Esso Italiana s.r.l. - viale Trieste 102, Gorizia. ( COD. ARPA GO007 );Archiviata;;Piano di monitoraggio approvato
GO/BSI/10;C;GO;Gorizia;P.to vendita carburanti ESSO n. 2062 - Bonfrate Benedetti Pierina. (Cod.ARPA GO017 );Archiviata;;Analisi di rischio approvata
GO/BSI/10-1;C;GO;Gorizia;P.to vendita carburanti ESSO (PBL 106203) PVF 2062  via Italico Brass 7/B Gorizia;Archiviata;;ex Archiviata
GOBSI10389-2002;C;GO;Monfalcone;Abbandono di rifiuti in loc. Z.I. Lisert - sud complesso ex Maraldi-Laminati Lisert-Adriastrade amianto e altro;Archiviata;;ex Archiviata
GOBSI104-2002;C;GO;Romans d'Isonzo;Area c/o l'impianto della Galvanica Isontina - Acque sotterranee potenzialmente inquinate scarico irregolare acque reflue;Archiviata;;
GOBSI10575-2001;C;GO;Monfalcone;Stazione radio base Wind - Impianto S.C.E.D.;Archiviata;;ex Notifica iniziale
GO/BSI/11;I;GO;Monfalcone;indagini in aree limitrofe alla Centrale Termoelettrica di Monfalcone;Istruttoria in atto;suolo: metalli;Indagine preliminare
GOBSI11460-2020;I;GO;Grado;Osservazioni ex art. 10 L. 241/1990 per il sig. SAIN Maurizio;Archiviata;;Indagine preliminare
GOBSI11594-2002;I;GO;Monfalcone;Ditta Lepanto Yachting Service S.r.l.-Area Cantiere Via Timavo - terra riporto con ceneri centrale ENEL (Cod. ARPA GO003 );Archiviata;;Abbandono rifiuti
GO/BSI/12;I;GO;Cormons;Discarica cat. 1 bonifica lotto 0 Ambiente Newco - Pecol dei Lupi - discarica cat. 1 bonifica lotto 0 (Cod.ARPA GO023 );Istruttoria in atto;acque: metalli;Progetto di bonifica approvato
GO/BSI/13;I;GO;Cormons;"Sig.ra Benardelli Anna, area Pecol dei Lupi - P.C. 1690 e 1689/1 proprietà sig.ra Anna Benardelli area limitrofa alla discarica di Pecol dei Lupi.
( Cod. ARPA GO024 )";Istruttoria in atto;;Piano Caratterizzazione approvato
GOBSI13363-2012;C;GO;Gorizia;Rinvenimento di tre cisterne interrate - via caduti AN Nasiriyah a Gorizia;Archiviata;;
GOBSI13499-2014;I;GO;Monfalcone;Cantiere Alto Adriatico 1977 SpA insediamento di via Timavo 78 a Monfalcone - presenza di imbarcazioni in stato di degrado - cod. ARPA: GO097;Istruttoria in atto;;Indagine preliminare
GOBSI13951-2005;C;GO;Cormons;P.to vendita carburanti SHELL n. 34024 Viale Venezia Giulia. Potenziale contaminazione a seguito rimozione 4 serbatoi.;Archiviata;;
GO/BSI/14;C;GO;Gradisca d'Isonzo;Società Sportiva tiro a volo - frammenti di piattelli e pallini piombo. (Cod. ARPA GO008 ).;Archiviata;;ex Notifica iniziale
GOBSI14678-2010;C;GO;Cormons;P.to vendita carburanti IP 41216 via Isonzo 109, Comune di Cormons (GO)  (Cod. ARPA GO066 ).;Archiviata;;
GO/BSI/15;C;GO;Monfalcone;P.to vendita carburanti ENI S.p.a. rete AGIP n. 4136 - viale Cosulich 10-12 in corrispondenza n. 139 (Cod. ARPA GO027 );Archiviata;;Piano di monitoraggio approvato
GOBSI15110-2009;C;GO;Gorizia;Incidente con fuoriuscita di olio lubrificante esausto in loc.  Tre Buchi a Oslavia Gorizia;Archiviata;;ex Archiviata
GOBSI15627-2008;C;GO;Monfalcone;"Az.  Agricola ""I Rodari"" - Potenziale contaminazione a seguito manomissione serbatoio gasolio  (Cod. ARPA GO056 ).";Archiviata;;
GOBSI15965-2012;I;GO;Gorizia;Potenziale contaminazione Ex officina sita a Gorizia in via Brigata casale 30 della soglia di contaminazione - Goljevscek Vito  (Cod. ARPA GO077 ).;Istruttoria in atto;;Indagine preliminare
GO/BSI/16;C;GO;Grado;Ditta Immobiliare Eolo S.r.l. - Cantiere di realizzazione immobiliare sito Ex Safica ( Cod. ARPA GO029 );Archiviata;;
GOBSI16011-2015;C;GO;Monfalcone;Cantiere Nautico Ocean Marine s.r.l. sito in comune di Monfalcone via Consiglio d'Europa, n. 42 - cod. sito ARPA GO 110;Archiviata;;Autocertificazione
GOBSI16282-2007;C;GO;Sagrado;Discarica comunale 2° cat. tipo A dismessa (EX) sita in loc. Valle della Morte;Istruttoria in atto;Suoli: metalli;ex Notifica iniziale
GOBSI16611-2002;C;GO;Monfalcone;Società Fincantieri di Panzano - esplosione trasformatore elettrico  (Cod. ARPA GO021 ).;Archiviata;;ex Archiviata
GOBSI16646-2004;I;GO;San Pier d'Isonzo;Abbandono di rifiuti presso cantiere edile pc 783/1 di proprietà Ditta DONA' Alfonso Snc  (Cod. ARPA GO038 ).;Istruttoria in atto;;Abbandono rifiuti
GOBSI16666-2012;C;GO;Grado;"Cantiere per l'esecuzione dell'opera pubblica denominata ""Ricovero veicoli polizia municipale -deposito e sistemazione piazzale""";Archiviata;;ex Archiviata
GO/BSI/17;C;GO;Ronchi dei Legionari;Sversamento di combustibile su terreno a seguito di collisione Aeroporto di Ronchi dei Legionari. (Cod. ARPA GO019 ).;Archiviata;;
GOBSI17135-2016;I;GO;San Canzian d'Isonzo;Lavori di completamento della ciclovia del Mare Adriatico: rinvenimento di tracce oleose in loc. Terranova di San Canzian d'Isonzo su terreno adiacente l'impianto idrovoro;Istruttoria in atto;Suoli: Idrocarburi;Indagine preliminare
GOBSI17175-2016;C;GO;Grado;ENEL - sversamento da palo PTP Montarone a 30 metri dal mare in loc. Isola Montarone a Grado;Archiviata;;
GOBSI17820-2016;I;GO;San Canzian d'Isonzo;Fallimento EMME A di Altomare Michele, via Corpo Volontari di Liberazione a San Canzian d'Isonzo - superamento limiti mercurio;Archiviata;;Abbandono rifiuti
GO/BSI/18;C;GO;Monfalcone;P.to vendita carburanti API S.p.a., via Cosulich 20, Monfalcone. (Cod. ARPA ASSENTE - non risulta aperto nessun fascicolo come sito inquinato);Archiviata;;Messa in sicurezza d’emergenza
GOBSI1858-2003;I;GO;San Floriano del Collio;Sversamento di gasolio nel terreno e nella conduttura stradale a causa di un'avaria alla cisterna  (Cod. ARPA GO014 ).;Archiviata;;Abbandono rifiuti
GOBSI18837-2011;C;GO;Gorizia;Potenziale contaminazione delle soglie di contaminazione del condominio gestito dall'ATER di GO ubicato in via Garzarolli 132 Dlgs 152/2006 - ART. 249 -;Archiviata;;Autocertificazione
GOBSI18838-2014;I;GO;Doberdo` del Lago;"Superamento di csc nei terreni nel comune di Doberdò del Lago individuato nell'ambito della Campagna di rilevamento del contenuto di metalli nei licheni presenti in diversi siti della provincia di Gorizia condotta dall'ARPA GO; cod. ARPA GO099";Istruttoria in atto;Suoli: Vanadio;Indagine preliminare
GO/BSI/19;C;GO;Monfalcone;P.to vendita carburanti ex AGIP ora ENI Petroli n. 4117 - Via Duca D'Aosta n. 42 (Cod. ARPA GO032 );Archiviata;;Certificazione provinciale di avvenuta bonifica
GOBSI19103-2011;C;GO;Gorizia;Bonifica cisterna centrale termica - Olivieri via Cipriani n. 78;Archiviata;;ex Archiviata
GOBSI19469-2014;C;GO;Romans d'Isonzo;"Guasto al circuito idraulico del mezzo in dotazione al Servizio tecnico manutentivo del Comune di Romans d'Isonzo e conseguente sversamento oleoso in località ""laghi presso Modoletto"" - cod. ARPA: GO102";Archiviata;;
GO/BSI/2;I;GO;Staranzano;P.to vendita carburanti ENI S.p.a. N. 4121 in via Trieste, 33 (Cod. ARPA GO004 );Archiviata;;Chiusura procedimento
GO/BSI/20;C;GO;Monfalcone;Cassa di Colmata nel Porto  di Monfalcone. (Cod. ARPA GO022);Archiviata;;
GOBSI20042-2007;C;GO;Gorizia;Ditta Z.F. Costruzioni S.r.l.: rimozione cisterne presso cantiere edile  (Cod. ARPA GO049 ).;Archiviata;;ex Archiviata
GO/BSI/20-1;C;GO;Monfalcone;Cassa di colmata Lisert - Comune di Monfalcone  - progetto di escavo e cassa di colmata per fanghi di dragaggio;Istruttoria in atto;amianto;Piano Caratterizzazione approvato
GOBSI20319-2007;C;GO;Gorizia;Ditta Vopachel S.r.l.: rinvenimento contenitori rifiuti liquidi anche pericolosi con evidenze di sversamento sul terreno;Istruttoria in atto;Rifiuti cod. CER 16.03.05* e 16.03.06 (risp. rifiuti organici contenenti sost. pericolose e non pericolose);ex Notifica iniziale
GO/BSI/21;C;GO;Monfalcone;Ospedale civile di Monfalcone S. Polo: Centrale termica - Ditta SIRAM. (Cod. ARPA GO028);Archiviata;;
GOBSI21099-2004;I;GO;Monfalcone;Ditta Autodemolizioni SGUBIN - messa in riserva di rifiuti di veicoli fuori uso depositati su nuda terra  (Cod. ARPA GO031 ).;Archiviata;;Indagine preliminare
GOBSI21568-2014;C;GO;Sagrado;Area con presenza di vari recipienti contenenti liquami chimici presso ditta HYDRA;Archiviata;;
GOBSI21990-2006;I;GO;San Canzian d'Isonzo;presenza di mercurio su terreni agricoli dell'area sita su p.c. 1118/1 F.M. 15 cc. Isola Morosini;Istruttoria in atto;Suoli: metalli;Abbandono rifiuti
GO/BSI/22;C;GO;Gorizia;Settore nord orientale del centro abitato di Gorizia  - via Montesanto - loc. Casermette (Cod. ARPA GO040 );Archiviata;;Analisi di rischio approvata
GOBSI22056-2014;C;GO;Cormons;"Ex caserma Amadio - Intervento di messa in sicurezza; codice ARPA: GO103";Archiviata;;
GOBSI22175-2014;C;GO;Villesse;P.to vendita carburanti Total Erg NI006209 Villesse - Comunicazione art. 249 D.Lgs. 152/06;Archiviata;;
GOBSI22223-2019;I;GO;Monfalcone;PAVIMENTAZIONE AREE STERRATE E CHIUSURA POZZI PERDENTI -Stabilimento di Monfalcone. Messa in sicurezza in emergenza di area con terre eccedenti i parametri di tabella 1/B, All. 5, parte IV D.Lgs. 152/2006.;Archiviata;;Abbandono rifiuti
GOBSI22302-2005;I;GO;Ronchi dei Legionari;Discarica di 1^ cat. Monte sei Busi di Puglia Ambiente S.p.a. dismessa (EX)(ex Anua Eco S.p.a.)  (Cod. ARPA GO037 ).;Archiviata;;Abbandono rifiuti
GOBSI22387-2014;I;GO;Monfalcone;"Incidente di data 1/8/2014 nel parcheggio del p.to vendita Mercatone Uno  che ha coinvolto un camion con sversamento gasolio; codice ARPA: GO104";Archiviata;;Messa in sicurezza d’emergenza
GOBSI22811-2010;I;GO;Grado;Abbandono di rifiuti liquidi, Fossalon di Grado (GO);Archiviata;;Abbandono rifiuti
GO/BSI/23;C;GO;Monfalcone;P.to vendita carburanti ESSO n. 2047 di via Boito 64 (cOD. arpa GO034 ).;Archiviata;;MISO approvata
GOBSI23186-2016;I;GO;Moraro;Capannone in via G. Carducci a Moraro - potenziale superamento csc;Istruttoria in atto;;Indagine preliminare
GOBSI23602-2016;I;GO;Monfalcone;Incidente stradale del 12/08/2016 in un tratto di viabilità del Locavaz in Comune di Monfalcone;Istruttoria in atto;Suoli: Idrocarburi;Indagine preliminare
GOBSI23815-2014;I;GO;San Pier d'Isonzo, Villesse;Società Terna Rete Italia SpA - Elettrodotto a 380 kV in doppia terna S.E. Udine Ovest - S.E. Redipuglia ed opere connesse. Superamento limiti;Istruttoria in atto;Suoli: Mercurio;Indagine preliminare
GOBSI23934-2014;C;GO;Ronchi dei Legionari;Deposito carburanti per aeromobili Total Aviazione Italia c/o Aeroporto Pietro Savorgnan di Brazza in Ronchi dei Legionari (GO);Archiviata;;
GO/BSI/24;C;GO;Monfalcone;Ecopiazzola gestita dal Comune di Ronchi con scarico non autorizzato acque meteoriche nel suolo, con possibile interessamento della falda acquifera. (Cod. ARPA GO013 ).;Archiviata;;ex Monitoraggio
GO/BSI/25;C;GO;San Canzian d'Isonzo;Azienda Genagricola S.p.a. - Gestione anomala liquami da allevamento industriale di suini (Cod. ARPA GO025 e GO026);Archiviata;;ex Notifica iniziale
GOBSI25412-2011;I;GO;Mariano del Friuli;Rinvenimento di materiale assimilabile a discarica abusiva su tratto raccordo autostradale Villesse- Gorizia ( sito2 );Archiviata;;Autocertificazione
GOBSI25615-2010;C;GO;Villesse;"Ditta ""Sifte Berti"" - Via Aquileia, Villesse (GO) Rottura serbatoio carburante di un autoarticolato presso il piazzale";Archiviata;;Autocertificazione
GO/BSI/26;I;GO;Monfalcone;"Area terrapieno di Marina Nova, ""Casoni pescatori"", oggetto di interramento ceneri dell'inceneritore del Comune di Monfalcone. (Cod. ARPA GO035 )";Istruttoria in atto;zinco, piombo,antimonio,rame,stagno,idrocarburi,PCB,Benzo(a)pirene,benzo(ag,h,i)perilene,indenopirene,diossine;MISPermanente approvata
GOBSI26443-2011;C;GO;Ronchi dei Legionari;Abbandono di rifiuti sulla SP 15 Ronchi Doberdò Gorizia. rif. ordinanza Comune Ronchi dei Legionari n. 10/2010 (superamento csc idrocarburi pesanti)  (Cod. ARPA GO074 ).;Archiviata;;
GOBSI26754-2005;C;GO;Gorizia;Azienda Colorificio Celchi S.r.l.  (Cod. ARPA GO033 ).;Archiviata;;
GOBSI26761-2019;I;GO;Savogna d'Isonzo;Art. 249 D.Lgs. 152/06 - Notifica di potenziale inquinamento - Ufficio Postale di di Savogna d'Isonzo (GO);Istruttoria in atto;;Messa in sicurezza d’emergenza
GO/BSI/27;I;GO;Dolegna del Collio;Abbandono di rifiuti in loc. Ruttars - discarica abusiva costituita da cumuli di ghiaia - Az Agricola LIVON (Cod. ARPA GO030 );Istruttoria in atto;;Piano Caratterizzazione approvato
GO/BSI/28;C;GO;Ronchi dei Legionari;Impianto di autolavaggio della stazione di servizio ERG di Schiavini Giorgio & Roberto s.n.c. -Via Aquileia n. 35, Comune di Ronchi dei Legionari (GO). (Cod. ARPA GO036 );Archiviata;;Piano Caratterizzazione presentato
