,comune,provincia
0,Pagnacco,Udine_S
1,Magnano in Riviera,Udine_S
2,San Vito al Tagliamento,Pordenone
3,Doberdo` del Lago,Gorizia
4,Terzo d'Aquileia,Udine_S
5,Colloredo di M.te Albano,Udine_S
6,Torviscosa,Udine_S
7,Savogna d'Isonzo,Gorizia
8,Rive d'Arcano,Udine_S
9,Castions di Strada,Udine_S
10,Campoformido,Udine_S
11,San Floriano del Collio,Gorizia
12,Meduno,Pordenone
13,Brugnera,Pordenone
14,Maniago,Pordenone
15,Sgonico,Trieste
16,Palazzolo dello Stella,Udine_S
17,Verzegnis,Udine_N
18,Pavia di Udine,Udine_S
19,Ovaro,Udine_N
20,Budoia,Pordenone
21,Cordenons,Pordenone
22,Gonars,Udine_S
23,Cervignano del Friuli,Udine_S
24,Codroipo,Udine_S
25,Ronchis,Udine_S
26,Dignano,Udine_S
27,Pinzano al Tagliamento,Pordenone
28,Claut,Pordenone
29,Zoppola,Pordenone
30,Vivaro,Pordenone
31,Fiumicello Villa Vicentina,Udine_S
32,Pradamano,Udine_S
33,Staranzano,Gorizia
34,Treppo Grande,Udine_S
35,Talmassons,Udine_S
36,Aiello del Friuli,Udine_S
37,Resia,Udine_N
38,San Giorgio della Richinvelda,Pordenone
39,Tramonti di Sotto,Pordenone
40,Roveredo in Piano,Pordenone
41,Malborghetto-Valbruna,Udine_N
42,Pordenone,Friuli-Venezia Giulia
43,Tolmezzo,Udine_N
44,Sedegliano,Udine_S
45,Coseano,Udine_S
46,Palmanova,Udine_S
47,Cordovado,Pordenone
48,Majano,Udine_S
49,Spilimbergo,Pordenone
50,San Vito al Torre,Udine_S
51,Vito d'Asio,Pordenone
52,Villa Santina,Udine_N
53,Arta Terme,Udine_N
54,Tarvisio,Udine_N
55,Carlino,Udine_S
56,Fogliano Redipuglia,Gorizia
57,Forgaria nel Friuli,Udine_S
58,Cercivento,Udine_N
59,Flaibano,Udine_S
60,Porcia,Pordenone
61,San Giovanni al Natisone,Udine_S
62,Pravisdomini,Pordenone
63,Dolegna del Collio,Gorizia
64,Basiliano,Udine_S
65,Martignacco,Udine_S
66,Buttrio,Udine_S
67,Turriaco,Gorizia
68,Sacile,Pordenone
69,Sagrado,Gorizia
70,Erto e Casso,Pordenone
71,Pozzuolo del Friuli,Udine_S
72,Ruda,Udine_S
73,Fontanafredda,Pordenone
74,Osoppo,Udine_S
75,Lignano Sabbiadoro,Udine_S
76,Aquileia,Udine_S
77,Farra d'Isonzo,Gorizia
78,Cavazzo Carnico,Udine_N
79,Bagnaria Arsa,Udine_S
80,Corno di Rosazzo,Udine_S
81,Cormons,Gorizia
82,Attimis,Udine_S
83,Fanna,Pordenone
84,Chiusaforte,Udine_N
85,Visco,Udine_S
86,Remanzacco,Udine_S
87,San Daniele del Friuli,Udine_S
88,Valvasone Arzene,Pordenone
89,Sequals,Pordenone
90,Chions,Pordenone
91,Grado,Gorizia
92,Prepotto,Udine_S
93,Pocenia,Udine_S
94,Trivignano Udinese,Udine_S
95,Pasian di Prato,Udine_S
96,Torreano,Udine_S
97,Tavagnacco,Udine_S
98,Nimis,Udine_S
99,San Dorligo della Valle,Trieste
100,Manzano,Udine_S
101,Faedis,Udine_S
102,Vajont,Pordenone
103,Marano Lagunare,Udine_S
104,Fiume Veneto,Pordenone
105,Sesto al Reghena,Pordenone
106,Prata di Pordenone,Pordenone
107,San Pier d'Isonzo,Gorizia
108,Montereale Valcellina,Pordenone
109,Ronchi dei Legionari,Gorizia
110,Muggia,Trieste
111,Duino-Aurisina,Trieste
112,Udine,Friuli-Venezia Giulia
113,San Pietro al Natisone,San Pietro al Natisone
114,Paularo,Udine_N
115,Villesse,Gorizia
116,Monfalcone,Gorizia
117,Latisana,Udine_S
118,Aviano,Pordenone
119,Resiutta,Udine_N
120,Romans d'Isonzo,Gorizia
121,Azzano Decimo,Pordenone
122,Morsano al Tagliamento,Pordenone
123,Casarsa della Delizia,Pordenone
124,Paluzza,Udine_N
125,Mariano del Friuli,Gorizia
126,Drenchia,Udine_S
127,San Giorgio di Nogaro,Udine_S
128,Venzone,Udine_N
129,San Quirino,Pordenone
130,Gorizia,Friuli-Venezia Giulia
131,Sutrio,Udine_N
132,Mereto di Tomba,Udine_S
133,San Canzian d'Isonzo,Gorizia
134,Polcenigo,Pordenone
135,Trieste,Friuli-Venezia Giulia
136,Amaro,Udine_N
137,Cividale del Friuli,Udine_S
138,Castelnovo del Friuli,Pordenone
139,Mossa,Gorizia
140,Enemonzo,Udine_N
141,Artegna,Udine_S
142,Reana del Rojale,Udine_S
143,Muzzana del Turgnano,Udine_S
144,Precenicco,Udine_S
145,Moraro,Gorizia
146,Fagagna,Udine_S
147,Povoletto,Udine_S
148,Gradisca d'Isonzo,Gorizia
149,Pontebba,Udine_N
150,Pasiano di Pordenone,Pordenone
151,Bicinicco,Udine_S
152,Buja,Udine_S
153,Campolongo Tapogliano,Udine_S
154,Bertiolo,Udine_S
155,Rivignano Teor,Udine_S
156,Caneva,Pordenone
157,Porpetto,Udine_S
158,Rigolato,Udine_N
159,Mortegliano,Udine_S
160,Premariacco,Udine_S
161,Tricesimo,Udine_S
162,Gemona del Friuli,Udine_S
163,Prato Carnico,Udine_N
164,Santa Maria la Longa,Udine_S
165,Tarcento,Udine_S
166,San Lorenzo Isontino,Gorizia
167,Moggio Udinese,Udine_N
168,Camino al Tagliamento,Udine_S
169,Varmo,Udine_S
