Tipo Autorizzazione,Unità Locale,Cod. Impianto,Denominazione,Gestore,Prov.,Comune,Indirizzo,Latitudine,Longitudine,Colonna georeferenziata
Autorizzazione AIA,POZZUOLO DEL FRIULI Via Buttrio 28,UD/AIA/11,Attività di recupero metalli in acciaieria in aia POZZUOLO DEL FRIULI Via Buttrio 28,ACCIAIERIE BERTOLI SAFAU S.P.A.,UD,POZZUOLO DEL FRIULI,"Zona Industriale Udinese Via Buttrio,28",46.006925,13.25348,POINT (13.25348 46.006925)
Autorizzazione unica (ordinaria),"TRIESTE Via Querini, 6",TS/ESR/1637,"Impianto di trasferenza urbani non pericolosi TRIESTE Via Querini, 6",ACEGASAPSAMGA S.P.A.,TS,TRIESTE,"Via Pietro Querini,6",45.615148,13.81291,POINT (13.81291 45.615148)
Trattamento rifiuti liquidi art. 110 dlgs 152/06,"TRIESTE Via Usodimare, 2",TS_TS006021,"Impianto di depurazione acque reflue urbane TRIESTE Via Usodimare, 2",ACEGASAPSAMGA S.P.A.,TS,TRIESTE,"Via Antoniotto Usodimare,2",45.612692,13.804254,POINT (13.804254 45.612692)
Procedura semplificata/AUA,"DUINO AURISINA Località Stazione, Aurisina",COM_598,"Impianto di messa in riserva varie tipologie rifiuti DUINO AURISINA Località Stazione, Aurisina",ACQUISTO METALLI S.R.L.,TS,DUINO AURISINA,Aurisina Località Stazione,45.7491,13.692403,POINT (13.692403 45.7491)
Procedura semplificata/AUA,"MONFALCONE Via dei Boschetti, 44",F031012-0037_002,"Impianto di messa in riserva metalli MONFALCONE via Boschetti, 44",ACQUISTO METALLI S.R.L.,GO,MONFALCONE,"Via Boschetti,44",45.791061,13.5252,POINT (13.5252 45.791061)
Procedura semplificata/AUA,LIGNANO SABBIADORO Strada del Pantanel 28,COM_533,Impianto di recupero LIGNANO SABBIADORO Strada del Pantanel 28,ADECO S.R.L.,UD,LIGNANO SABBIADORO,"Pantanel Strada del Pantanel,28",45.685352,13.097554,POINT (13.097554 45.685352)
Autorizzazione unica (ordinaria),"MONFALCONE Via Grota del Diau Zot, Zona Industriale Lisert",GO_XYMOB008,"Impianto mobile Franzoi Tri 1611 - matr. 1064 MONFALCONE Via Grota del Diau Zot, Zona Industriale Lisert",ADRIASTRADE S.R.L.,GO,MONFALCONE,Zona Industriale Lisert Via Grota del Diau Zot,,,
Procedura semplificata/AUA,"MONFALCONE Via Grota del Diau Zot, Zona Industriale Lisert",COM_975,"Impianto di recupero inerti MONFALCONE via Grota del Diau Zot, Zona Industriale Lisert",ADRIASTRADE S.R.L.,GO,MONFALCONE,Zona Industriale Lisert Via Grota del Diau Zot,45.788551,13.573751,POINT (13.573751 45.788551)
Procedura semplificata/AUA,CAMPOLONGO TAPOGLIANO Strada comunale per Ruda,COM_248,Impianto di recupero inerti CAMPOLONGO TAPOGLIANO Strada comunale per Ruda,ADRIASTRADE S.R.L.,UD,CAMPOLONGO TAPOGLIANO,Campolongo al Torre Strada Comunale per Ruda,45.855198,13.406217,POINT (13.406217 45.855198)
Autorizzazione unica (ordinaria),"MARTIGNACCO Via Maù, 21",F030057-0013_002,"Impianto di recupero rifiuti pericolosi e non pericolosi MARTIGNACCO Via Maù, 21",AES S.R.L.,UD,MARTIGNACCO,"Via Maù,21",46.085525,13.148146,POINT (13.148146 46.085525)
Procedura semplificata/AUA,"MORSANO AL TAGLIAMENTO  Via dei Laghi, San Paolo",PN-COM-252,"Impianto di compostaggio verde MORSANO AL TAGLIAMENTO Via dei Laghi, San Paolo",AGRO SYSTEM S.R.L.,PN,MORSANO AL TAGLIAMENTO,San Paolo Via dei Laghi,45.866307,12.950551,POINT (12.950551 45.866307)
Procedura semplificata/AUA,MORSANO AL TAGLIAMENTO Località Feletti,PN-COM-237,Impianto di compostaggio verde MORSANO AL TAGLIAMENTO Località Feletti,AGRO SYSTEM S.R.L.,PN,MORSANO AL TAGLIAMENTO,Località Feletti,45.862777,12.90873,POINT (12.90873 45.862777)
Procedura semplificata/AUA,FIUME VENETO Via Bassi,F093021-0010_002,Impianto di compostaggio verde FIUME VENETO Via Bassi,AL CILIEGIO - SOCIETA' COOPERATIVA,PN,FIUME VENETO,Via Bassi,45.934368,12.718943,POINT (12.718943 45.934368)
Procedura semplificata/AUA,MORTEGLIANO Via Gabelli 2,COM_239,Impianto di recupero energetico legno MORTEGLIANO Via Gabelli 2,ALPEA S.R.L.,UD,MORTEGLIANO,"Via Aristide Gabelli,2",45.94083,13.170987,POINT (13.170987 45.94083)
Autorizzazione unica (ordinaria),"GRADISCA D'ISONZO Via Udine, 58",GO_GO008001,Impianto di autodemolizione GRADISCA D'ISONZO via Udine 58,ANZIL ENZO,GO,GRADISCA D'ISONZO,"Via Udine,58",45.893655,13.476242,POINT (13.476242 45.893655)
Procedura semplificata/AUA,"BRUGNERA Viale Europa,4",F093007-0019_002,"Impianto di recupero BRUGNERA Viale Europa,4",ARCOM S.R.L.,PN,BRUGNERA,"Zona Industriale Camol Viale Europa,4",45.932071,12.547751,POINT (12.547751 45.932071)
Procedura semplificata/AUA,PRATA DI PORDENONE via Palazzetto 56,PN-COM-108,Impianto di recupero energetico legno PRATA DI PORDENONE Via Palazzetto 56,AR-DUE S.P.A.,PN,PRATA DI PORDENONE,"Ghirano Via Palazzetto,56",45.847382,12.562491,POINT (12.562491 45.847382)
Procedura semplificata/AUA,"SAN GIORGIO DI NOGARO Via Torricelli, 1",F027036-0002_002,"Impianto di stoccaggio SAN GIORGIO DI NOGARO Via Torricelli, 1",AR.RE.FIN. S.r.l.,UD,SAN GIORGIO DI NOGARO,"via Torricelli,1",45.793256,13.218747,POINT (13.218747 45.793256)
Autorizzazione unica (ordinaria),"PALMANOVA Via Marinoni, 9",F030070-0010_002,"Impianto di stoccaggio spazzamento stradale PALMANOVA Via Marinoni, 9",ARTCO SERVIZI SOCIETA' COOPERATIVA IN BREVE ARTCO SERVIZI COOP.,UD,PALMANOVA,"via Marinoni,9",45.905207,13.291839,POINT (13.291839 45.905207)
Procedura semplificata/AUA,BRUGNERA viale Europa 10,PN-COM-222,Impianto di recupero energetico legno BRUGNERA viale Europa 10,AR - TRE S.R.L.,PN,BRUGNERA,"Zona Industriale del Camol Viale Europa,10",45.937781,12.551028,POINT (12.551028 45.937781)
Procedura semplificata/AUA,VALVASONE ARZENE Via Tabina 5,PN-COM-231,Impianto di recupero bitumi VALVASONE ARZENE Via Tabina 5,ASFALTI TAGLIAMENTO S.R.L.,PN,VALVASONE ARZENE,"Via Tabina,5",45.964619,12.869968,POINT (12.869968 45.964619)
Autorizzazione unica (ordinaria),"RIVE D'ARCANO Via Arcano Superiore, 12/1",UD_00008175,"Impianto di recupero raccolta differenziata RIVE D'ARCANO Via Arcano Superiore, 12/1",A&T 2000 SPA,UD,RIVE D_ ARCANO,"Prè Longhi di Camin Località Arcano Superiore,12/1",46.149221,13.058695,POINT (13.058695 46.149221)
Autorizzazione unica (ordinaria),DUINO-AURISINA Località Aurisina Cave,TS_TS001007,Impianto di recupero inerti DUINO AURISINA Località Aurisina Cave,AURISINA QUARRY S.R.L.,TS,DUINO AURISINA,Località Aurisina Cave,45.758991,13.652689,POINT (13.652689 45.758991)
Autorizzazione unica (ordinaria),"TRIESTE Via Maovaz, 2",TS_TS006006,"Impianto di autodemolizione TRIESTE Via Maovaz, 2",AUTOCARROZZERIA APOLLO 2 S.N.C. DI GIANCARLO GLAVINA E LILIANA GLAVINA,TS,TRIESTE,"Via Mario Maovaz,2",45.62347,13.826433,POINT (13.826433 45.62347)
Autorizzazione unica (ordinaria),PRADAMANO via Nazionale 100,UD_00002609,Impianto di autodemolizione PRADAMANO via Nazionale 100,AUTODEMOLIZIONI DEL FRATE S.N.C. DI PAOLO IURI & NICOLA DEL FRATE,UD,PRADAMANO,"Via Nazionale,100",46.020879,13.277559,POINT (13.277559 46.020879)
Autorizzazione unica (ordinaria),"CAMPOFORMIDO Via Adriarica, 53, Basaldella",UD_00002764,Impianto di autodemolizione CAMPOFORMIDO Via Adriatica 53,AUTODEMOLIZIONI DI BATTEL SILVANO & FIGLIO S.N.C.,UD,CAMPOFORMIDO,"Basaldella Via Adriatica,53",46.029991,13.217359,POINT (13.217359 46.029991)
Autorizzazione unica (ordinaria),"RUDA Via Chiozza, 2 La Fredda",UD_UD137001,Impianto di autodemolizione RUDA Via Chiozza 2 La Fredda,AUTODEMOLIZIONI DI PETEAN IVANA PALMIRA,UD,RUDA,"La Fredda Via Luigi Chiozza,2",45.836932,13.374177,POINT (13.374177 45.836932)
Autorizzazione unica (ordinaria),"SAVOGNA D'ISONZO Via Stradalta, 18, Peci",GO_GO022000,Impianto di autodemolizione SAVOGNA D'ISONZO Via Stradalta 18 Peci,AUTODEMOLIZIONI F.LLI PRIMOZIC DI PRIMOZIC RICCARDO & ROMINO S.N.C.,GO,SAVOGNA D'ISONZO,"Peci Via Stradalta,18",45.899264,13.586127,POINT (13.586127 45.899264)
Autorizzazione unica (ordinaria),SACILE Viale San Giovanni del Tempio 119/A,PN_PN037000,Impianto di autodemolizione SACILE Viale San Giovanni del Tempio 119/A,AUTODEMOLIZIONI GIUSTO DI GIUSTO SANTE & C. S.N.C.,PN,SACILE,"Viale San Giovanni del Tempio,119/A",45.967677,12.539377,POINT (12.539377 45.967677)
Autorizzazione unica (ordinaria),UDINE Via Oderzo 22,UD_UD129007,Impianto di messa in riserva sale e pfu UDINE Via Oderzo 22,AUTOTRASPORTI CHIARCOSSO S.R.L.,UD,UDINE,"Via Oderzo,22",46.029036,13.240051,POINT (13.240051 46.029036)
Procedura semplificata/AUA,AVIANO Via Giuseppe Ellero 37,PN-COM-151,Impianto di recupero asfalto AVIANO Via Giuseppe Ellero 37,AVIANESE ASFALTI S.R.L.,PN,AVIANO,"Zona Industriale Via Giuseppe Ellero,37",46.059029,12.613485,POINT (12.613485 46.059029)
Autorizzazione unica (ordinaria),UDINE Via Salvo d'Acquisto 56,UD_00008199,Impianto di messa in riserva rifiuti non pericolosi UDINE Via Salvo d'Acquisto 56,"AZIENDA TERRITORIALE PER L'EDILIZIA RESIDENZIALE DI UDINE IN SIGLA ""ATER DI UDINE""",UD,UDINE,"Via Salvo d’Acquisto,56",46.077463,13.257968,POINT (13.257968 46.077463)
Procedura semplificata/AUA,LATISANA Via Lignano Nord 178,COM_460,Impianto di messa in riserva e recupero inerti LATISANA Via Lignano Nord 178,BANDOLIN S.R.L.,UD,LATISANA,"Via Lignano Nord,178",45.740456,13.039055,POINT (13.039055 45.740456)
Procedura semplificata/AUA,"FONTANAFREDDA Via Giovanni Ellero 20, Ranzano",F093022-0025_002,"Impianto di messa in riserva FONTANAFREDDA Via Giovanni Ellero 20, Ranzano",BATTISTELLA SCAVI DI BATTISTELLA GIORGIO E SANDRO S.N.C.,PN,FONTANAFREDDA,"Via Enea Ellero,20",46.002935,12.536066,POINT (12.536066 46.002935)
Autorizzazione unica (ordinaria),"FIUMICELLO Via Giuseppe di Vittorio, Zona Artigianale Commerciale Cortona",UD_UD038000,"Impianto di autodemolizione FIUMICELLO Via Giuseppe Di Vittorio, Zona Artigianale Commerciale Cortona",B & B CARS S.A.S. DI BOSCAROL ANDREA,UD,FIUMICELLO,Zona Artigianale Commerciale Cortona  Via Giuseppe Di Vittorio,45.808445,13.410966,POINT (13.410966 45.808445)
Procedura semplificata/AUA,MANZANO Via Duca d'Aosta 23,F030129-0068_003,Impianto di messa in riserva MANZANO Via Duca d'Aosta 23,BERGA-FER DI BERGAMASCO ANDREA,UD,MANZANO,"Via Duca d'Aosta,23",45.985188,13.360492,POINT (13.360492 45.985188)
Procedura semplificata/AUA,"CODROIPO Strada Vicinale Pozzo-Valvasone, Casali Loreto",AUA_333,"Impianto di recupero inerti CODROIPO Strada Vicinale Pozzo-Valvasone, Casali Loreto",BERTOLO S.R.L.,UD,CODROIPO,Casali Loreto Strada Vicinale Pozzo-Valvasone,45.979683,12.920458,POINT (12.920458 45.979683)
Procedura semplificata/AUA,VALVASONE ARZENE Località Casatte 1,PN-COM-280,Impianto di messa in riserva e recupero inerti VALVASONE ARZENE Località Casatte 1,BERTOLO S.R.L.,PN,VALVASONE ARZENE,"Località Casatte,1",45.977142,12.882339,POINT (12.882339 45.977142)
Autorizzazione unica (ordinaria),VALVASONE ARZENE Località Casatte,DIS282PN,Discarica per inerti VALVASONE ARZENE Località Casatte,BERTOLO S.R.L.,PN,VALVASONE ARZENE,Località Casatte,45.976208,12.881849,POINT (12.881849 45.976208)
Autorizzazione unica (ordinaria),"FIUME VENETO Strada Statale Pontebbana, 21/B",PN_XYMOB0018,"Impianto mobile di recupero inerti FRANZOI TRI1611 matricola 1040 FIUME VENETO Strada Statale Pontebbana, 21/B",BESSEGA SAS DI BESSEGA VALERIO & C.,PN,FIUME VENETO,"Strada Statale n.13 ""Pontebbana"",21/B",45.946014,12.726073,POINT (12.726073 45.946014)
Autorizzazione unica (ordinaria),FIUME VENETO S.S. Pontebbana 21/B,PN_XYMOB0014,Impianto mobile recupero inerti Franzoi Tri 1611 matricola 1083 FIUME VENETO S.S. Pontebbana 21/B,BESSEGA SERVICE S.R.L.,PN,FIUME VENETO,"Strada Statale n.13 ""Pontebbana"",21/B",45.946196,12.72605,POINT (12.72605 45.946196)
Procedura semplificata/AUA,MUGGIA Strada delle Saline 40,COM_611,Impianto di recupero ceneri MUGGIA Strada delle Saline 40,BETON EST - S. A R.L.,TS,MUGGIA,"Strada delle Saline,40",45.598054,13.78934,POINT (13.78934 45.598054)
Autorizzazione AIA,MANIAGO Via Vivarina 18,PN/AIA/93,"Impianto di compostaggio, digestione anaerobica e recupero energetico da biogas MANIAGO Via Vivarina 18 località Cossana",BIOMAN S.P.A.,PN,MANIAGO,"Cossana Via Vivarina,18",46.124124,12.72019,POINT (12.72019 46.124124)
Autorizzazione AIA,"BICINICCO Via Santa Maria, 32",UD/AIA/118,"Impianto di recupero energetico legno BICINICCO Via Santa Maria, 32",BIPAN S.P.A.,UD,BICINICCO,"Via Santa Maria,32",45.93047,13.261485,POINT (13.261485 45.93047)
Procedura semplificata/AUA,"SOCCHIEVE Via Centro Sportivo, Zona Artigianale",COM_1022,"Impianto di recupero rifiuti inerti SOCCHIEVE Via Centro Sportivo, Zona Artigianale",BORIA LUIGINO & C. S.N.C.,UD,SOCCHIEVE,Via Centro Sportivo,46.398479,12.857995,POINT (12.857995 46.398479)
Autorizzazione unica (ordinaria),PORDENONE Via Vigonovo 4/a,PN_PN033003,Impianto di autodemolizione PORDENONE,BORTOLUS IVANO,PN,PORDENONE,"Via Vigonovo,4/a",45.973717,12.63925,POINT (12.63925 45.973717)
Autorizzazione unica (ordinaria),SAN VITO AL TAGLIAMENTO via Pescopagano 1,F093041-0039_002,Impianto recupero rifiuti non pericolosi SAN VITO AL TAGLIAMENTO Via Pescopagano 1,BOZ SEI SRL,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Pescopagano,1",45.943693,12.870301,POINT (12.870301 45.943693)
Procedura semplificata/AUA,"MOSSA Via Isonzo, 32",COM_833,Impianto di messa in riserva e recupero inerti MOSSA via Isonzo 32,BUFFON GIANLUIGI,GO,MOSSA,Via Isonzo,45.928429,13.549914,POINT (13.549914 45.928429)
Autorizzazione AIA,"FANNA Via Pradis, 2",PN/AIA/12,"Impianto di recupero energetico e inerti FANNA Via Pradis, 2",BUZZI UNICEM SPA - SENZA VINCOLI DI RAPPRESENTAZIONE GRAFICA,PN,FANNA,"Via Pradis,2",46.177089,12.739999,POINT (12.739999 46.177089)
